                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69923,                0.59934,                 1.0858,                0.85957,                0.75551,                0.82641,                0.59937,                 1.0038,                0.80375,                 1.3363,               0.006535,               0.006535,               0.006535
                     37,                0.69593,                0.56786,                 1.1034,                0.90652,                0.72933,                0.83047,                0.61912,                0.93795,                0.79718,                 1.2916,               0.006436,               0.006436,               0.006436
                     38,                0.71058,                0.59171,                 1.0934,                0.84304,                  0.801,                0.83947,                0.62372,                0.92395,                0.78615,                 1.2539,               0.006337,               0.006337,               0.006337
                     39,                0.68588,                0.55541,                 1.0905,                0.82794,                0.78536,                0.84645,                0.62839,                0.92774,                0.78301,                 1.2485,               0.006238,               0.006238,               0.006238
                     40,                0.70125,                0.58626,                 1.1008,                0.83316,                0.77278,                0.83026,                0.61917,                0.93473,                0.79721,                 1.2601,               0.006139,               0.006139,               0.006139
                     41,                0.72374,                 0.5889,                 1.1081,                0.86134,                0.77639,                0.83385,                0.62057,                0.92127,                0.78502,                 1.2552,                0.00604,                0.00604,                0.00604
                     42,                0.67081,                0.54893,                 1.0627,                0.86177,                0.79149,                0.82708,                0.61408,                0.91151,                0.79577,                 1.2417,               0.005941,               0.005941,               0.005941
                     43,                0.68334,                0.55392,                 1.0799,                0.87302,                0.77889,                0.84497,                0.62534,                0.91008,                0.76291,                 1.2566,               0.005842,               0.005842,               0.005842
                     44,                0.65522,                0.54003,                 1.0604,                0.87645,                0.78098,                 0.8457,                0.61903,                0.90834,                0.74291,                  1.258,               0.005743,               0.005743,               0.005743
                     45,                0.63119,                 0.5161,                 1.0437,                0.81947,                0.81014,                0.83603,                0.63878,                0.86389,                0.75227,                  1.215,               0.005644,               0.005644,               0.005644
                     46,                0.64724,                0.51687,                 1.0528,                0.86676,                 0.7795,                0.83814,                0.63317,                0.88044,                0.74365,                 1.2173,               0.005545,               0.005545,               0.005545
                     47,                0.64136,                0.50928,                 1.0458,                0.83606,                  0.789,                0.81963,                 0.6238,                0.87461,                0.75508,                 1.2172,               0.005446,               0.005446,               0.005446
                     48,                0.63257,                0.50113,                 1.0591,                0.81373,                0.79957,                0.82172,                0.62992,                0.88006,                0.76824,                 1.2354,               0.005347,               0.005347,               0.005347
                     49,                0.63764,                0.51272,                 1.0582,                0.88514,                0.74324,                0.82064,                0.63039,                0.88934,                0.73751,                 1.2406,               0.005248,               0.005248,               0.005248
                     50,                 0.6178,                0.48238,                  1.027,                0.89161,                0.78517,                0.84851,                0.63816,                0.88935,                0.69765,                 1.2326,               0.005149,               0.005149,               0.005149
                     51,                0.60414,                0.48623,                 1.0437,                0.86787,                0.75995,                0.84576,                  0.652,                0.87783,                0.70753,                 1.2231,                0.00505,                0.00505,                0.00505
                     52,                 0.6121,                0.49815,                 1.0436,                0.89014,                0.74882,                0.84163,                0.64995,                0.88266,                0.68605,                 1.2371,               0.004951,               0.004951,               0.004951
                     53,                0.59169,                0.47374,                 1.0239,                0.83059,                0.80393,                0.84416,                0.64929,                0.86375,                 0.6972,                 1.2278,               0.004852,               0.004852,               0.004852
                     54,                0.60789,                0.48155,                 1.0433,                0.87058,                0.78083,                0.82982,                0.63781,                0.86121,                0.70628,                 1.2123,               0.004753,               0.004753,               0.004753
                     55,                0.61095,                 0.4894,                 1.0518,                0.84998,                0.80636,                0.84026,                0.64369,                0.88552,                0.71366,                 1.2223,               0.004654,               0.004654,               0.004654
                     56,                0.57872,                0.46234,                 1.0287,                0.87543,                0.83575,                0.87122,                0.65241,                0.88185,                0.68858,                 1.2493,               0.004555,               0.004555,               0.004555
                     57,                 0.6105,                0.48777,                 1.0481,                0.85161,                0.81068,                0.85431,                  0.642,                0.88911,                0.70575,                 1.2368,               0.004456,               0.004456,               0.004456
                     58,                0.59101,                0.46641,                 1.0294,                0.87899,                0.77857,                0.83958,                 0.6383,                0.87149,                0.70739,                 1.2156,               0.004357,               0.004357,               0.004357
                     59,                0.58063,                0.47346,                 1.0146,                0.87473,                0.80941,                0.86089,                0.65712,                0.84787,                0.67501,                 1.2021,               0.004258,               0.004258,               0.004258
                     60,                 0.5748,                 0.4593,                 1.0001,                0.85182,                0.78695,                0.84545,                0.64353,                0.85355,                0.69013,                 1.2124,               0.004159,               0.004159,               0.004159
                     61,                0.56244,                0.46818,                 1.0154,                 0.8418,                0.82036,                0.85202,                0.64298,                0.86132,                0.69893,                 1.2266,                0.00406,                0.00406,                0.00406
                     62,                 0.5811,                0.46064,                 1.0126,                 0.8531,                0.80219,                0.86654,                 0.6444,                0.87879,                 0.6807,                 1.2551,               0.003961,               0.003961,               0.003961
                     63,                0.57141,                0.44498,                 1.0246,                0.85824,                0.78678,                0.85743,                0.66264,                0.85276,                0.67952,                 1.2295,               0.003862,               0.003862,               0.003862
                     64,                0.55709,                0.44887,                 1.0046,                0.85062,                 0.8147,                  0.868,                0.65598,                0.88252,                0.67887,                  1.224,               0.003763,               0.003763,               0.003763
                     65,                0.54125,                0.41765,                 0.9998,                0.85848,                0.80028,                0.86245,                0.65103,                0.87027,                0.71788,                  1.215,               0.003664,               0.003664,               0.003664
                     66,                0.56034,                0.43216,                 1.0017,                0.91111,                0.76818,                0.86267,                0.65131,                 0.8736,                0.69423,                 1.2278,               0.003565,               0.003565,               0.003565
                     67,                0.55893,                0.43808,                 1.0054,                0.85882,                0.79353,                0.86931,                0.65955,                0.86738,                0.67397,                 1.2088,               0.003466,               0.003466,               0.003466
                     68,                 0.5463,                0.41692,                 1.0163,                0.90397,                0.78305,                 0.8722,                0.65555,                0.87246,                0.67888,                 1.2198,               0.003367,               0.003367,               0.003367
                     69,                0.52519,                0.40343,                0.99239,                0.87105,                0.81433,                0.86438,                0.65233,                0.86888,                0.69081,                 1.2197,               0.003268,               0.003268,               0.003268
